repo_url,commit_hash,model_file_path,serialization_format,message,author,date,is_in_commit,change_status,elapsed_days
rinna/japanese-gpt-neox-small,f33d44540298e143079f34c35b21eebe4f3dce89,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#2)


- Adding `safetensors` variant of this model (f0c7ae3c838380c2021bd57f4705e1ae80b83bcd)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Tianyu Zhao,2023-08-04 06:46:32,True,+,315
recogna-nlp/ptt5-base-summ-cstnews,f19cd2be31b69c2ade92a3ad83bca1b59d927560,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (34c4e07bd463f552642ff0aac06bbcee47bbb7b9)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Pedro Henrique Paiola,2023-03-21 23:42:48,True,+,179
recogna-nlp/ptt5-base-summ-temario,5d2adb7176cab93a8994c35d7fb6ba0ffcd22638,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (8f0abb9de6c91724f23d957fbf505ba5f5ff337a)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Pedro Henrique Paiola,2023-03-21 23:42:24,True,+,179
recogna-nlp/ptt5-base-summ-xlsum,f12939f002bfa15523990152fbb590ca5633ef69,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (306063111be59ef1c3b6b3357f05c4d301ac89ff)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Pedro Henrique Paiola,2023-03-21 23:41:42,True,+,179
recogna-nlp/ptt5-base-summ-wikilingua,c357f46f7de558dfe207037f71f8b6cee1359e38,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (2b011166d2dba3e724c4ba386def192c362bdb80)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Pedro Henrique Paiola,2023-05-20 18:27:11,True,+,239
bigscience/sgpt-bloom-7b1-msmarco,dc579f3d2d5a0795eba2049e16c3e36c74007ad3,pytorch_model-00001-of-00003.safetensors,safetensors,"Adding `safetensors` variant of this model (#3)


- Adding `safetensors` variant of this model (55ee9a18f83adabaf900edae80d8797fc6c294ea)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Christopher Akiki,2024-04-03 08:03:45,True,+,558
bigscience/sgpt-bloom-7b1-msmarco,dc579f3d2d5a0795eba2049e16c3e36c74007ad3,pytorch_model-00002-of-00003.safetensors,safetensors,"Adding `safetensors` variant of this model (#3)


- Adding `safetensors` variant of this model (55ee9a18f83adabaf900edae80d8797fc6c294ea)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Christopher Akiki,2024-04-03 08:03:45,True,+,558
bigscience/sgpt-bloom-7b1-msmarco,dc579f3d2d5a0795eba2049e16c3e36c74007ad3,pytorch_model-00003-of-00003.safetensors,safetensors,"Adding `safetensors` variant of this model (#3)


- Adding `safetensors` variant of this model (55ee9a18f83adabaf900edae80d8797fc6c294ea)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Christopher Akiki,2024-04-03 08:03:45,True,+,558
microsoft/xclip-base-patch32,a2e27a78a2b5d802e894b8a1ef14f3a8ce490963,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#3)


- Adding `safetensors` variant of this model (47627d79085e55e641829bd120ac64a3cc3c2238)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Niels Rogge,2024-02-03 20:26:30,True,+,498
nickmuchi/detr-resnet50-license-plate-detection,c382b1363ce3acaa3ffe741625901e7f0c977996,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (a3bde5f4e3e1d0388327e548a272cc4b56b62734)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Nicholas Muchinguri,2024-02-27 22:47:55,True,+,522
sociocom/MedNER-CR-JA,4c64fb004a42e1282868fbd4719839ac39d5652c,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#2)


- Adding `safetensors` variant of this model (15d0069aa6e42695f395566368224994e14c628a)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Shuntaro Yada,2023-04-05 05:21:19,True,+,194
MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7,12dfea2a0b9ea8019b809105d4f62ffec7af622c,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#3)


- Adding `safetensors` variant of this model (f05319d93e3a4c88671083c13137726936be08a2)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Moritz Laurer,2023-03-20 04:26:54,True,+,178
MCG-NJU/videomae-base,dc740ceda42fce44faed2ea03c6d447db72f6af9,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#3)


- Adding `safetensors` variant of this model (a6c2a8d371a8690497d78eee21fdb4fbfcf796da)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Niels Rogge,2024-03-29 04:02:16,True,+,553
