repo_url,commit_hash,error
pszemraj/distill-pegasus-CompMath,effc8e47f23545eb34adc3a481b66b7245e0503e,[Errno 2] No such file or directory: 'tmp/pszemraj+distill-pegasus-CompMath/global_step116/zero_pp_rank_0_mp_rank_00_optim_states.pt'
pszemraj/distill-pegasus-CompMath,df4a31b1574d3464d2a4f4e05355007ab5c3315d,[Errno 2] No such file or directory: 'tmp/pszemraj+distill-pegasus-CompMath/global_step116/mp_rank_00_model_states.pt'
pritamdeka/S-PubMedBert-MS-MARCO,2bd3e6c5ac9a1649bedfca1e99bab297dd0f379d,[Errno 2] No such file or directory: 'tmp/pritamdeka+S-PubMedBert-MS-MARCO/topic_embeddings.safetensors'
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,82e26c9b5267208b24cf67808f26091c05070a13,[Errno 2] No such file or directory: 'tmp/mrm8488+distilroberta-finetuned-financial-news-sentiment-analysis/checkpoint-1020/optimizer.pt'
mohammed/wav2vec2-large-xlsr-arabic,eaf9c141bef38a86517fb53fe59e5a4311beade6,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout eaf9c141bef38a86517fb53fe59e5a4311beade6
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	flax_model.msgpack
Please commit your changes or stash them before you switch branches.
Aborting'"
microsoft/trocr-small-printed,04e994ab854b0089d4929f48c2b4dbe2ce78a340,"Cmd('git') failed due to: exit code(128)
  cmdline: git clone -v -- git@hf.co:microsoft/trocr-small-printed tmp/microsoft+trocr-small-printed
  stderr: 'Cloning into 'tmp/microsoft+trocr-small-printed'...
Downloading model.safetensors (246 MB)
Error downloading object: model.safetensors (49350a3): Smudge error: Error downloading model.safetensors (49350a39968df83e5a1adc90fc0ede02ff247671aed70b842af350fd4a7103f3): can't close temporary file ""/afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/microsoft+trocr-small-printed/.git/lfs/incomplete/49350a39968df83e5a1adc90fc0ede02ff247671aed70b842af350fd4a7103f3106440303"": close /afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/microsoft+trocr-small-printed/.git/lfs/incomplete/49350a39968df83e5a1adc90fc0ede02ff247671aed70b842af350fd4a7103f3106440303: disk quota exceeded

Errors logged to '/afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/microsoft+trocr-small-printed/.git/lfs/logs/20241023T052149.312397321.log'.
Use `git lfs logs last` to view the log.
error: external filter 'git-lfs filter-process' failed
fatal: model.safetensors: smudge filter lfs failed
warning: Clone succeeded, but checkout failed.
You can inspect what was checked out with 'git status'
and retry with 'git restore --source=HEAD :/'

'"
microsoft/trocr-small-printed,25fe3e3f8f3c97b122780bfc6475e579e1ad0564,"Cmd('git') failed due to: exit code(128)
  cmdline: git clone -v -- git@hf.co:microsoft/trocr-small-printed tmp/microsoft+trocr-small-printed
  stderr: 'Cloning into 'tmp/microsoft+trocr-small-printed'...
Downloading model.safetensors (246 MB)
Error downloading object: model.safetensors (49350a3): Smudge error: Error downloading model.safetensors (49350a39968df83e5a1adc90fc0ede02ff247671aed70b842af350fd4a7103f3): can't close temporary file ""/afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/microsoft+trocr-small-printed/.git/lfs/incomplete/49350a39968df83e5a1adc90fc0ede02ff247671aed70b842af350fd4a7103f31379232360"": close /afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/microsoft+trocr-small-printed/.git/lfs/incomplete/49350a39968df83e5a1adc90fc0ede02ff247671aed70b842af350fd4a7103f31379232360: disk quota exceeded

Errors logged to '/afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/microsoft+trocr-small-printed/.git/lfs/logs/20241023T052154.578659726.log'.
Use `git lfs logs last` to view the log.
error: external filter 'git-lfs filter-process' failed
fatal: model.safetensors: smudge filter lfs failed
warning: Clone succeeded, but checkout failed.
You can inspect what was checked out with 'git status'
and retry with 'git restore --source=HEAD :/'

'"
microsoft/trocr-small-handwritten,cbb95519796173e7d96dcac9257af115d57f9ca2,"Cmd('git') failed due to: exit code(128)
  cmdline: git clone -v -- git@hf.co:microsoft/trocr-small-handwritten tmp/microsoft+trocr-small-handwritten
  stderr: 'Cloning into 'tmp/microsoft+trocr-small-handwritten'...
Downloading pytorch_model.bin (246 MB)
Error downloading object: pytorch_model.bin (1b83102): Smudge error: Error downloading pytorch_model.bin (1b83102cbc1520dee1c3937ac334da83da18cf4683d46ebd1bd4e93ebe584dd7): can't close temporary file ""/afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/microsoft+trocr-small-handwritten/.git/lfs/incomplete/1b83102cbc1520dee1c3937ac334da83da18cf4683d46ebd1bd4e93ebe584dd73093177207"": close /afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/microsoft+trocr-small-handwritten/.git/lfs/incomplete/1b83102cbc1520dee1c3937ac334da83da18cf4683d46ebd1bd4e93ebe584dd73093177207: disk quota exceeded

Errors logged to '/afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/microsoft+trocr-small-handwritten/.git/lfs/logs/20241023T052158.982394911.log'.
Use `git lfs logs last` to view the log.
error: external filter 'git-lfs filter-process' failed
fatal: pytorch_model.bin: smudge filter lfs failed
warning: Clone succeeded, but checkout failed.
You can inspect what was checked out with 'git status'
and retry with 'git restore --source=HEAD :/'

'"
microsoft/trocr-small-handwritten,5e384e4da3383e65e7d83538aad56a302b8a6c98,"Cmd('git') failed due to: exit code(128)
  cmdline: git clone -v -- git@hf.co:microsoft/trocr-small-handwritten tmp/microsoft+trocr-small-handwritten
  stderr: 'Cloning into 'tmp/microsoft+trocr-small-handwritten'...
Downloading pytorch_model.bin (246 MB)
Error downloading object: pytorch_model.bin (1b83102): Smudge error: Error downloading pytorch_model.bin (1b83102cbc1520dee1c3937ac334da83da18cf4683d46ebd1bd4e93ebe584dd7): can't close temporary file ""/afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/microsoft+trocr-small-handwritten/.git/lfs/incomplete/1b83102cbc1520dee1c3937ac334da83da18cf4683d46ebd1bd4e93ebe584dd71563049037"": close /afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/microsoft+trocr-small-handwritten/.git/lfs/incomplete/1b83102cbc1520dee1c3937ac334da83da18cf4683d46ebd1bd4e93ebe584dd71563049037: disk quota exceeded

Errors logged to '/afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/microsoft+trocr-small-handwritten/.git/lfs/logs/20241023T052203.057196678.log'.
Use `git lfs logs last` to view the log.
error: external filter 'git-lfs filter-process' failed
fatal: pytorch_model.bin: smudge filter lfs failed
warning: Clone succeeded, but checkout failed.
You can inspect what was checked out with 'git status'
and retry with 'git restore --source=HEAD :/'

'"
microsoft/trocr-large-stage1,4f6e6d7a2cba548292ddb6f5649b2d64eb7124d8,"Cmd('git') failed due to: exit code(128)
  cmdline: git clone -v -- git@hf.co:microsoft/trocr-large-stage1 tmp/microsoft+trocr-large-stage1
  stderr: 'Cloning into 'tmp/microsoft+trocr-large-stage1'...
Downloading model.safetensors (2.4 GB)
Error downloading object: model.safetensors (949766c): Smudge error: Error downloading model.safetensors (949766c47fc8c1f3177e7e14cbfb840b716cb883947cdf4f24418bfd38d36269): can't close temporary file ""/afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/microsoft+trocr-large-stage1/.git/lfs/incomplete/949766c47fc8c1f3177e7e14cbfb840b716cb883947cdf4f24418bfd38d362691755664964"": close /afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/microsoft+trocr-large-stage1/.git/lfs/incomplete/949766c47fc8c1f3177e7e14cbfb840b716cb883947cdf4f24418bfd38d362691755664964: disk quota exceeded

Errors logged to '/afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/microsoft+trocr-large-stage1/.git/lfs/logs/20241023T052236.648342225.log'.
Use `git lfs logs last` to view the log.
error: external filter 'git-lfs filter-process' failed
fatal: model.safetensors: smudge filter lfs failed
warning: Clone succeeded, but checkout failed.
You can inspect what was checked out with 'git status'
and retry with 'git restore --source=HEAD :/'

'"
