repo_url,commit_hash,model_file_path,serialization_format,message,author,date,is_in_commit,change_status,elapsed_days
Jateendra/nlp_bert_emo_classifier,ec265430e43f2ec05fb4e6a5082833b0d0862e3a,model.safetensors,safetensors,"Training in progress, step 500",Pradhan,2024-03-02 13:42:37,True,+,526
haesun/distilbert-base-uncased-finetuned-emotion,800f478a4d354804ec7d0d7995ad616591758d08,model.safetensors,safetensors,"Training in progress, epoch 1",Haesun Park,2024-01-20 23:49:25,True,+,484
vijayrag/distilbert-base-uncased-finetuned-emotion,bf4cc157acbef72f797e853d07c73e97ca781f12,model.safetensors,safetensors,"Training in progress, step 500",Vijay Raghavan,2024-02-13 15:46:55,True,+,508
kontur-ai/sbert_punc_case_ru,eab0c50e5b52ac6a4529d113266121df697ab876,model.safetensors,safetensors,"safetensors update (#3)


- safetensors update (50282f3d0697ea21779c53c244314517c6f80f78)
- safetensors model added (04ff336e3e47280791bd8e300468537e6179b03e)
- readme update (044cecb68768b5b450f58c726f4c2403838bd688)
- some formatting (a614a1af09ec9700164d5b56a9dd9f187360e2a4)
- inference false (bb4e784327033e0e11d5d61184d258a46bf93c0c)",Alex Grazder,2024-01-22 01:00:07,True,+,486
Gunulhona/tbnlimodel_v2,24c7ab03f8c04306f98c5ae2e04e63480b6e6f8e,model.safetensors,safetensors,Upload BartForSequenceClassification,JungKwonHwan,2024-04-17 01:03:15,True,+,572
z-dickson/US_politicians_covid_skepticism,bc85f961e3a2b6f8c4d32fcfde536ab0b826d7ed,model.safetensors,safetensors,Upload BertForSequenceClassification,zachary dickson,2023-12-16 08:20:29,True,+,449
winegarj/distilbert-base-uncased-finetuned-sst2,ec5494dd98299d40c472fa9abc757e57a9c139b7,model.safetensors,safetensors,"Training in progress, epoch 1",James Winegar,2023-11-25 13:48:06,True,+,428
mdroth/bert-finetuned-ner-accelerate,800ed7039fc98ccfccdf8c03ad1d33f41d5f3f0c,model.safetensors,safetensors,Training in progress epoch 0,Matthias Droth,2024-02-19 18:47:09,True,+,514
Helsinki-NLP/opus-mt-tc-big-fi-en,956e13710061738d21f677e4ed16a56546511c0f,model.safetensors,safetensors,"Update checkpoint for transformers>=4.29 (#6)


- Update checkpoint for transformers>=4.29 (ae29348668f08c2cdf91d2e1473feccb7783199e)


Co-authored-by: Arthur Zucker <ArthurZ@users.noreply.huggingface.co>",Matthew Carrigan,2024-04-16 14:13:57,True,+,571
ctheodoris/Geneformer,933ca80e39d421c47a12168699766bb7e4e2c197,gf-12L-95M-i4096/model.safetensors,safetensors,"update with 12L and 20L i4096 gc95M models, multitask and quantiz code",Christina Theodoris,2024-08-15 04:09:57,True,+,692
ctheodoris/Geneformer,933ca80e39d421c47a12168699766bb7e4e2c197,gf-12L-95M-i4096_CLcancer/model.safetensors,safetensors,"update with 12L and 20L i4096 gc95M models, multitask and quantiz code",Christina Theodoris,2024-08-15 04:09:57,True,+,692
ctheodoris/Geneformer,933ca80e39d421c47a12168699766bb7e4e2c197,gf-20L-95M-i4096/model.safetensors,safetensors,"update with 12L and 20L i4096 gc95M models, multitask and quantiz code",Christina Theodoris,2024-08-15 04:09:57,True,+,692
ctheodoris/Geneformer,933ca80e39d421c47a12168699766bb7e4e2c197,gf-6L-30M-i2048/model.safetensors,safetensors,"update with 12L and 20L i4096 gc95M models, multitask and quantiz code",Christina Theodoris,2024-08-15 04:09:57,True,+,692
ai-forever/sbert_large_nlu_ru,af977d5dfa46a3635e29bf0ef383f2df2a08d47a,model.safetensors,safetensors,"Upload 10 files (#6)


- Upload 10 files (b66493f776c2fd19309d00c032d9dbce71b48ee4)
- Delete vocab.txt (1538e47df808b7acdb7280fbe31ca6ff5852fa87)
- Delete pytorch_model.bin (5b9aa504c5c38e83e47221acb0b5ce4920c16fd0)
- Delete flax_model.msgpack (95b86a32b821a0f6710dbb8d1da05d4c2358f21c)",ai-forever,2024-06-13 03:37:03,True,+,629
ai-forever/sbert_large_mt_nlu_ru,05300876c2b83f46d3ddd422a7f17e45cf633bb0,model.safetensors,safetensors,"Upload 11 files (#4)


- Upload 11 files (ff6c2d5a3b8544d75b01c8bcf66eec100be7cedf)
- Delete pytorch_model.bin (f8554054741b1f28af4dc1531832f7e645eeb2db)
- Delete tf_model.h5 (81002e3cbb80a9259679d393af7c2f5b38271561)
- Delete vocab.txt (7650bdeace965517efc5c7573f3760bd6695ec99)
- Delete flax_model.msgpack (c987fcdb31796f6e9d5621d1cea1439683dd0851)
- Upload 10 files (37400f31238f6fd1946020143b62e4a0069d80f1)
- Update tokenizer_config.json (347ec68f3b1bdd2a2d99ee0989d8a6507e93d5f9)",ai-forever,2024-06-13 03:29:25,True,+,629
pritamdeka/S-PubMedBert-MS-MARCO,dc7d9a7b2e7af3c13757db15df62accffed4fab9,topic_embeddings.safetensors,safetensors,"Add BERTopic model (#4)


- Add BERTopic model (3cc8c686cf9b8a536b5cfd4ebaba5a72872dd240)


Co-authored-by: Terri Tuson <TerriTuson@users.noreply.huggingface.co>",Pritam Deka,2024-02-05 08:52:13,True,+,500
chandc/distilbert-base-uncased-finetuned-ner,de6655480905d46c2ff09b75f6b7f6fe7bf4cc2e,model.safetensors,safetensors,"Training in progress, step 500",Daniel Chan,2024-02-18 14:59:27,True,+,513
ayameRushia/indobert-base-uncased-finetuned-indonlu-smsa,3e2b636a2ca52f22c3b26ef7034c5216f034743b,model.safetensors,safetensors,"Training in progress, epoch 1",ayameRushia,2024-02-02 05:08:29,True,+,497
FacebookAI/roberta-large,5069d8a2a32a7df4c69ef9b56348be04152a2341,model.safetensors,safetensors,"Convert weights to .safetensors (#1)


- Convert weights to .safetensors (e7ebe1d62fc22d24af997fa880b5a38e4d17af45)",Julien Chaumond,2022-09-29 11:22:07,True,+,6
FacebookAI/roberta-base,ff46155979338ff8063cdad90908b498ab91b181,model.safetensors,safetensors,"Convert weights to .safetensors (#3)


- Convert weights to .safetensors (a97a0fa19af3b9cf51ccbd4529dd661b7d619fe8)",Julien Chaumond,2022-09-29 11:21:48,True,+,6
openai-community/gpt2,909a290700bd99135e67c64eefc166960b67cfd2,model.safetensors,safetensors,"Convert weights to .safetensors (#6)


- Convert weights to .safetensors (f0946a6b3259a3bb628d54f1045cb64ee6dc4176)",Julien Chaumond,2022-09-29 11:22:02,True,+,6
