repo_url,commit_hash,model_file_path,serialization_format
rinna/japanese-gpt-neox-small,f33d44540298e143079f34c35b21eebe4f3dce89,model.safetensors,safetensors
rinna/japanese-gpt-neox-small,d93a6e4cfd29b7a4cccc068c24f4afab9c218c45,pytorch_model.bin,torch.save
rinna/japanese-gpt-neox-small,f3cdc9a0868ac3d6dbd8f7431f719dc07c5114e9,pytorch_model.bin,torch.save
rinna/japanese-gpt-neox-small,f3cdc9a0868ac3d6dbd8f7431f719dc07c5114e9,spiece.model,ONNX
Intel/roberta-base-squad2-int8-static-inc,79caea4b54eec88d1a75f641ecce4446aa8fd2a9,pytorch_model.bin,torch.save
Intel/roberta-base-squad2-int8-static-inc,79caea4b54eec88d1a75f641ecce4446aa8fd2a9,training_args.bin,torch.save
saphvis/ngpx2022,d5011c5daf903087aa8d424c878cc82640611d1d,ngpx2022.pt,torch.save
recogna-nlp/ptt5-base-summ-cstnews,f19cd2be31b69c2ade92a3ad83bca1b59d927560,model.safetensors,safetensors
recogna-nlp/ptt5-base-summ-cstnews,bd944d3c1525f4d1adff8855080b66adf768f460,spiece.model,ONNX
recogna-nlp/ptt5-base-summ-cstnews,1fd83933b31f54d76c5390285f67426a0a85c274,pytorch_model.bin,torch.save
recogna-nlp/ptt5-base-summ-temario,5d2adb7176cab93a8994c35d7fb6ba0ffcd22638,model.safetensors,safetensors
recogna-nlp/ptt5-base-summ-temario,fb64458c1aa099daf6a51aee52f27498529fa048,spiece.model,ONNX
recogna-nlp/ptt5-base-summ-temario,9defa1b6385a56dc229ed1298a085e398fca2e26,pytorch_model.bin,torch.save
recogna-nlp/ptt5-base-summ-xlsum,f12939f002bfa15523990152fbb590ca5633ef69,model.safetensors,safetensors
recogna-nlp/ptt5-base-summ-xlsum,538a8ba7acf9bc7a8ac12acac44e04f88e5e0e0b,spiece.model,ONNX
recogna-nlp/ptt5-base-summ-xlsum,7b98f4a40f9183f7e685086e3e96609a7d5506c5,pytorch_model.bin,torch.save
recogna-nlp/ptt5-base-summ-wikilingua,c357f46f7de558dfe207037f71f8b6cee1359e38,model.safetensors,safetensors
recogna-nlp/ptt5-base-summ-wikilingua,944c3bb1bd4c1f0c9a8eed079dc8113d3b1d882f,spiece.model,ONNX
recogna-nlp/ptt5-base-summ-wikilingua,aa5cb7d1aebbf552a149ab455bd9ed2f785c6512,pytorch_model.bin,torch.save
teticio/audio-diffusion-breaks-256,369dd154af13112641baf074273d1b2ebf30b9fe,unet/diffusion_pytorch_model.bin,torch.save
teticio/audio-diffusion-breaks-256,3c6fcf0f4810b33d051dd6daead47f6651bc1f36,unet/diffusion_pytorch_model.bin,torch.save
teticio/audio-diffusion-breaks-256,6242f4c511a325687cf3642e5a102262100f9311,unet/diffusion_pytorch_model.bin,torch.save
teticio/audio-diffusion-breaks-256,bd900b436798887f95dd40ab190a544d17bca6ad,unet/diffusion_pytorch_model.bin,torch.save
teticio/audio-diffusion-breaks-256,cb0ffab9d980f52b86471b86621822b3bb40b542,unet/diffusion_pytorch_model.bin,torch.save
teticio/audio-diffusion-breaks-256,b16818ca906a2679690bfe53466971ff45bb8b94,unet/diffusion_pytorch_model.bin,torch.save
teticio/audio-diffusion-breaks-256,05c015fbc17acac168638874607e8c9fdf9a03e4,unet/diffusion_pytorch_model.bin,torch.save
teticio/audio-diffusion-breaks-256,60a97906ce63420392096b528aa32c6266c67940,unet/diffusion_pytorch_model.bin,torch.save
teticio/audio-diffusion-breaks-256,aec29a78bb38428dd9f1550d6ca12a3a9a69f9a9,unet/diffusion_pytorch_model.bin,torch.save
teticio/audio-diffusion-breaks-256,42acc8f92397292c7f8f9faba535b4bbfcad418e,unet/diffusion_pytorch_model.bin,torch.save
teticio/audio-diffusion-breaks-256,4e4817663d790692e058f470f2cbd1e5b71957d1,unet/diffusion_pytorch_model.bin,torch.save
GadidGC/bert-base-spanish-wwm-uncased-finetuned-imdb-spanish,bfaaa1d6c50220e104a9d727f637876bbdef78e5,pytorch_model.bin,torch.save
GadidGC/bert-base-spanish-wwm-uncased-finetuned-imdb-spanish,bfaaa1d6c50220e104a9d727f637876bbdef78e5,training_args.bin,torch.save
GadidGC/bert-base-spanish-wwm-uncased-finetuned-imdb-spanish,42be321fc4edfe3d71e2b77050abf83fc1d9a5e1,pytorch_model.bin,torch.save
GadidGC/bert-base-spanish-wwm-uncased-finetuned-imdb-spanish,42be321fc4edfe3d71e2b77050abf83fc1d9a5e1,training_args.bin,torch.save
GadidGC/bert-base-spanish-wwm-uncased-finetuned-imdb-spanish,b74a0a1975af2765daa520a8ea107891ac169d85,pytorch_model.bin,torch.save
GadidGC/bert-base-spanish-wwm-uncased-finetuned-imdb-spanish,b74a0a1975af2765daa520a8ea107891ac169d85,training_args.bin,torch.save
