repo_url,commit_hash,model_file_path,serialization_format,message,author,date,is_in_commit,elapsed_days
MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7,08e97d4626c80790e50f75da74ed1fecfda644af,model.safetensors,safetensors,"Upload folder using huggingface_hub (#5)


- Upload folder using huggingface_hub (258fc17bc52fba21b29dc4408581bbd0f7d2fca1)


Co-authored-by: Joshua <Xenova@users.noreply.huggingface.co>",Moritz Laurer,2024-01-08 07:37:12,False,472
Jateendra/nlp_bert_emo_classifier,ec265430e43f2ec05fb4e6a5082833b0d0862e3a,model.safetensors,safetensors,"Training in progress, step 500",Pradhan,2024-03-02 13:42:37,True,526
haesun/distilbert-base-uncased-finetuned-emotion,9b30d41afdc9416ea4f5f597ace7f6bd8377f250,model.safetensors,safetensors,"Training in progress, epoch 2",Haesun Park,2024-01-20 23:51:21,True,484
haesun/distilbert-base-uncased-finetuned-emotion,800f478a4d354804ec7d0d7995ad616591758d08,model.safetensors,safetensors,"Training in progress, epoch 1",Haesun Park,2024-01-20 23:49:25,True,484
vijayrag/distilbert-base-uncased-finetuned-emotion,bf4cc157acbef72f797e853d07c73e97ca781f12,model.safetensors,safetensors,"Training in progress, step 500",Vijay Raghavan,2024-02-13 15:46:55,True,508
sdadas/st-polish-paraphrase-from-distilroberta,f467877cc2a7c35dddff6a42bf2a7cca4d7e1fa7,model.safetensors,safetensors,"Add TF weights (#3)


- Add TF weights (66bb4861ea968b2fe8a1eb7bcc7ff41dddbb683b)


Co-authored-by: Adriana Michalik <adrianam@users.noreply.huggingface.co>",Sławomir Dadas,2024-05-13 12:56:12,False,598
kontur-ai/sbert_punc_case_ru,eab0c50e5b52ac6a4529d113266121df697ab876,model.safetensors,safetensors,"safetensors update (#3)


- safetensors update (50282f3d0697ea21779c53c244314517c6f80f78)
- safetensors model added (04ff336e3e47280791bd8e300468537e6179b03e)
- readme update (044cecb68768b5b450f58c726f4c2403838bd688)
- some formatting (a614a1af09ec9700164d5b56a9dd9f187360e2a4)
- inference false (bb4e784327033e0e11d5d61184d258a46bf93c0c)",Alex Grazder,2024-01-22 01:00:07,True,486
Gunulhona/tbnlimodel_v2,24c7ab03f8c04306f98c5ae2e04e63480b6e6f8e,model.safetensors,safetensors,Upload BartForSequenceClassification,JungKwonHwan,2024-04-17 01:03:15,True,572
jonathandinu/face-parsing,1f7e152e1efbfe03ce6c2637944a1f6a41bfcd0a,model.safetensors,safetensors,add onnx weights for transformers.js,Jonathan Dinu,2024-01-18 02:56:05,False,482
z-dickson/US_politicians_covid_skepticism,9b4ad48b228c04ba7b047a4b1271b80e028cdc87,model.safetensors,safetensors,Upload BertForSequenceClassification,zachary dickson,2024-01-05 13:23:59,True,469
z-dickson/US_politicians_covid_skepticism,1d9789161b3e11bc6d82cdd551fe09c23376a9a1,model.safetensors,safetensors,Upload BertForSequenceClassification,zachary dickson,2024-01-05 10:05:33,True,469
z-dickson/US_politicians_covid_skepticism,19b0450ef4b66b90efed79e8426d3d0ff5cf84ac,model.safetensors,safetensors,Upload BertForSequenceClassification,zachary dickson,2024-01-05 08:10:47,True,469
z-dickson/US_politicians_covid_skepticism,bc85f961e3a2b6f8c4d32fcfde536ab0b826d7ed,model.safetensors,safetensors,Upload BertForSequenceClassification,zachary dickson,2023-12-16 08:20:29,True,449
KES/TEC-English,ff9049067a4a860bf4b79a811bf997c67110d3e0,model.safetensors,safetensors,Updated Model,Keston Smith,2024-07-25 22:37:53,True,671
KES/TEC-English,3aa226c2fc18588f892d48dc3f96e2d34919409d,model.safetensors,safetensors,"Upload model.safetensors

Updated Model",Keston Smith,2024-07-25 04:49:44,True,671
Yehor/w2v-xls-r-uk,716024a34d40549142928218d0f3cd9c83d63684,model.safetensors,safetensors,Delete pytorch_model.bin,Smoliakov,2024-08-16 12:01:23,False,693
MoritzLaurer/DeBERTa-v3-large-mnli-fever-anli-ling-wanli,0de4830e69aa5710af98b05f2c4d001d0edc0e52,model.safetensors,safetensors,"Upload folder using huggingface_hub (#3)


- Upload folder using huggingface_hub (5fa018392ad2768743405724e4f5813ee4b4b961)


Co-authored-by: Joshua <Xenova@users.noreply.huggingface.co>",Moritz Laurer,2024-01-08 07:37:10,False,472
winegarj/distilbert-base-uncased-finetuned-sst2,273146485c5b48f723ded2f76532ce29c2e0cd06,model.safetensors,safetensors,End of training,James Winegar,2024-08-03 14:39:39,True,680
winegarj/distilbert-base-uncased-finetuned-sst2,f9d205f893552f8a515db1efee23e04764a8ca25,model.safetensors,safetensors,"Training in progress, epoch 5",James Winegar,2024-08-03 14:39:36,True,680
winegarj/distilbert-base-uncased-finetuned-sst2,8e9790e71b5187000fb46e598c7a0063008c9224,model.safetensors,safetensors,"Training in progress, epoch 4",James Winegar,2024-08-03 14:29:03,True,680
winegarj/distilbert-base-uncased-finetuned-sst2,c36d4aa33eaed41cf5e2d0f67783b524e559f0f5,model.safetensors,safetensors,"Training in progress, epoch 3",James Winegar,2024-08-03 14:18:48,True,680
winegarj/distilbert-base-uncased-finetuned-sst2,033566ba2682879e2af52d4cc5c5bf534603fac2,model.safetensors,safetensors,"Training in progress, epoch 2",James Winegar,2024-08-03 14:10:48,True,680
winegarj/distilbert-base-uncased-finetuned-sst2,91ca47495828606f8c7298811ba8c3dcf0e97455,model.safetensors,safetensors,"Training in progress, epoch 1",James Winegar,2024-08-03 13:59:42,True,680
winegarj/distilbert-base-uncased-finetuned-sst2,1ff172f327be632183b980507f5702ad37e71c5e,model.safetensors,safetensors,End of training,James Winegar,2024-07-26 17:27:02,True,672
winegarj/distilbert-base-uncased-finetuned-sst2,2e12667e853c320f0c74c961f0689b8471dbb6f5,model.safetensors,safetensors,"Training in progress, epoch 5",James Winegar,2024-07-26 17:26:59,True,672
winegarj/distilbert-base-uncased-finetuned-sst2,947a29caa9374b66f6b5956f3c4a18517dbe8c61,model.safetensors,safetensors,"Training in progress, epoch 4",James Winegar,2024-07-26 17:25:46,True,672
winegarj/distilbert-base-uncased-finetuned-sst2,a00fd43c07055fe9543fd8c28f3494e2d032791d,model.safetensors,safetensors,"Training in progress, epoch 3",James Winegar,2024-07-26 17:24:33,True,672
winegarj/distilbert-base-uncased-finetuned-sst2,397019d4fe1588aa3d63d7cb0a9f817c4cba3b7b,model.safetensors,safetensors,"Training in progress, epoch 2",James Winegar,2024-07-26 17:23:21,True,672
winegarj/distilbert-base-uncased-finetuned-sst2,8767340e3992c0641d3201e12afb6d3740376f06,model.safetensors,safetensors,"Training in progress, epoch 1",James Winegar,2024-07-26 17:22:11,True,672
winegarj/distilbert-base-uncased-finetuned-sst2,7247ce56956b3f75d4091d072964805d8ba69854,model.safetensors,safetensors,End of training,James Winegar,2024-03-25 13:44:34,True,549
winegarj/distilbert-base-uncased-finetuned-sst2,b755f06792a78eb82d1bef7a82b79d75650178e8,model.safetensors,safetensors,"Training in progress, epoch 5",James Winegar,2024-03-25 13:44:31,True,549
winegarj/distilbert-base-uncased-finetuned-sst2,d265abd7abf97afedaa4451d8fff033e80260a34,model.safetensors,safetensors,"Training in progress, epoch 4",James Winegar,2024-03-25 13:43:19,True,549
winegarj/distilbert-base-uncased-finetuned-sst2,02f9685d138fe68d5debb98e95d4a49568489718,model.safetensors,safetensors,"Training in progress, epoch 3",James Winegar,2024-03-25 13:42:05,True,549
winegarj/distilbert-base-uncased-finetuned-sst2,e51eb2a10e8d837f12e17c66cecd4ec968b39747,model.safetensors,safetensors,"Training in progress, epoch 2",James Winegar,2024-03-25 13:40:53,True,549
winegarj/distilbert-base-uncased-finetuned-sst2,ff8b408cb8078fb9d09a58a5c0ae73ac2a3a0e28,model.safetensors,safetensors,"Training in progress, epoch 1",James Winegar,2024-03-25 13:39:42,True,549
winegarj/distilbert-base-uncased-finetuned-sst2,3fdcc0ba0ead14b270fcd5dc06c3f337753559d6,model.safetensors,safetensors,End of training,James Winegar,2023-11-25 15:02:33,True,428
winegarj/distilbert-base-uncased-finetuned-sst2,60e139f8ffaaff4ec564af38600a7ee91a76e45d,model.safetensors,safetensors,"Training in progress, epoch 5",James Winegar,2023-11-25 15:02:31,True,428
winegarj/distilbert-base-uncased-finetuned-sst2,ff8058839511be69572ddfbe9f7b1a806e76c1aa,model.safetensors,safetensors,"Training in progress, epoch 4",James Winegar,2023-11-25 15:01:16,True,428
winegarj/distilbert-base-uncased-finetuned-sst2,3b5ecbfe5f95461b3e25c95392fc7c3aabddd687,model.safetensors,safetensors,"Training in progress, epoch 3",James Winegar,2023-11-25 15:00:03,True,428
winegarj/distilbert-base-uncased-finetuned-sst2,dbc64f0186de3e7aeb642db4324a23858e521cd4,model.safetensors,safetensors,"Training in progress, epoch 2",James Winegar,2023-11-25 14:58:48,True,428
winegarj/distilbert-base-uncased-finetuned-sst2,cd37b616a03350daa1adf18dbbee8a3db1742ec5,model.safetensors,safetensors,"Training in progress, epoch 1",James Winegar,2023-11-25 14:57:36,True,428
winegarj/distilbert-base-uncased-finetuned-sst2,2b8b3ac5a3c635ab40590c65fb69894654d1c439,model.safetensors,safetensors,"Training in progress, epoch 5",James Winegar,2023-11-25 13:53:04,True,428
winegarj/distilbert-base-uncased-finetuned-sst2,9bf87007114592a02224a6d4447dcbfcb44089c8,model.safetensors,safetensors,"Training in progress, epoch 4",James Winegar,2023-11-25 13:51:48,True,428
winegarj/distilbert-base-uncased-finetuned-sst2,1fc1393e9e57201b78a4e31ad25556b0ca47e3ae,model.safetensors,safetensors,"Training in progress, epoch 3",James Winegar,2023-11-25 13:50:33,True,428
winegarj/distilbert-base-uncased-finetuned-sst2,dbd9d6d2d679ec75ffce7dcc0f54074dfbf25cac,model.safetensors,safetensors,"Training in progress, epoch 2",James Winegar,2023-11-25 13:49:18,True,428
winegarj/distilbert-base-uncased-finetuned-sst2,ec5494dd98299d40c472fa9abc757e57a9c139b7,model.safetensors,safetensors,"Training in progress, epoch 1",James Winegar,2023-11-25 13:48:06,True,428
mdroth/bert-finetuned-ner-accelerate,7029b6e7094996be04a3a34c9da1267f0fb855aa,model.safetensors,safetensors,Training in progress epoch 2,Matthias Droth,2024-02-19 22:30:12,True,514
mdroth/bert-finetuned-ner-accelerate,2640d97bd0de5084262c82b6ea549d5e4604ab7d,model.safetensors,safetensors,Training in progress epoch 1,Matthias Droth,2024-02-19 22:06:56,True,514
mdroth/bert-finetuned-ner-accelerate,64ca5f734aee13dfa0f282b302c586269a3f7e90,model.safetensors,safetensors,Training in progress epoch 0,Matthias Droth,2024-02-19 21:43:39,True,514
mdroth/bert-finetuned-ner-accelerate,d5fdcc9d865113f1ec99c61a6d72d359b9c6a186,model.safetensors,safetensors,Training in progress epoch 1,Matthias Droth,2024-02-19 19:49:44,True,514
