repo_url,commit_hash,model_file_path,serialization_format
lucio/xls-r-kyrgiz-cv8,d661618b856192c3139ac3ef2f1b2f8f69131082,lucio/xls-r-kyrgiz-cv8/pytorch_model.bin,torch.save
lucio/xls-r-kyrgiz-cv8,5b061b23544b2956ea88a7927b3ce70c1429dcfd,lucio/xls-r-kyrgiz-cv8/pytorch_model.bin,torch.save
lucio/xls-r-kyrgiz-cv8,dd2ced43ba3755e87299ac3439bb77dd5ff0f998,lucio/xls-r-kyrgiz-cv8/pytorch_model.bin,torch.save
lucio/xls-r-kyrgiz-cv8,dd2ced43ba3755e87299ac3439bb77dd5ff0f998,lucio/xls-r-kyrgiz-cv8/training_args.bin,torch.save
lucio/wav2vec2-large-xlsr-luganda,16874348b06f44ece9f412152cbc8e7a5a472b22,lucio/wav2vec2-large-xlsr-luganda/model.safetensors,safetensors
lucio/wav2vec2-large-xlsr-luganda,b390dfaa2ae9d9826b48d936c03d2671be2c72e2,lucio/wav2vec2-large-xlsr-luganda/pytorch_model.bin,torch.save
lucio/wav2vec2-large-xlsr-luganda,c3e4fef908b039e594aaea62c552994d3f299bee,lucio/wav2vec2-large-xlsr-luganda/pytorch_model.bin,torch.save
lucio/wav2vec2-large-xlsr-luganda,60c54fb6c335bd8a97c916c3474aeeb5d9eece22,lucio/wav2vec2-large-xlsr-luganda/pytorch_model.bin,torch.save
lucio/wav2vec2-large-xlsr-luganda,4b26337bf31cd6cd843e928a7a28e26ed704a9b3,lucio/wav2vec2-large-xlsr-luganda/pytorch_model.bin,torch.save
lucio/wav2vec2-large-xlsr-luganda,05d3bd2ddadb25c718c7dacfd6a6fb8e1e006673,lucio/wav2vec2-large-xlsr-luganda/pytorch_model.bin,torch.save
lucio/wav2vec2-large-xlsr-luganda,8eefd98973619cbec8e6200b56875e4323eb4905,lucio/wav2vec2-large-xlsr-luganda/pytorch_model.bin,torch.save
ltg/norbert2,f22bb47f536f62edfcd86ca9320ade990eafbe22,ltg/norbert2/model.safetensors,safetensors
ltg/norbert2,87def6db56dc1a58e1e415dc04d6ad1e989c5e0b,ltg/norbert2/pytorch_model.bin,torch.save
ltg/norbert2,87def6db56dc1a58e1e415dc04d6ad1e989c5e0b,ltg/norbert2/tf_model.h5,h5/hdf5
ltg/norbert,075d4e3705390691013e859faffc5696d071e33b,ltg/norbert/model.safetensors,safetensors
ltg/norbert,1cee702b8590008ac12a81baea87190cd270e4dc,ltg/norbert/tf_model.h5,h5/hdf5
ltg/norbert,6b4e28189e73399794b7948b683f435192460d7c,ltg/norbert/pytorch_model.bin,torch.save
lewiswatson/distilbert-base-uncased-finetuned-emotion,3f3cf7c8ae4f176e1f5d6bb232a5954e5347e114,lewiswatson/distilbert-base-uncased-finetuned-emotion/pytorch_model.bin,torch.save
lewiswatson/distilbert-base-uncased-finetuned-emotion,3f3cf7c8ae4f176e1f5d6bb232a5954e5347e114,lewiswatson/distilbert-base-uncased-finetuned-emotion/training_args.bin,torch.save
lewiswatson/distilbert-base-uncased-finetuned-emotion,f6880907b19dc923f6cf58167b97c50d11eaa948,lewiswatson/distilbert-base-uncased-finetuned-emotion/pytorch_model.bin,torch.save
lewiswatson/distilbert-base-uncased-finetuned-emotion,f6880907b19dc923f6cf58167b97c50d11eaa948,lewiswatson/distilbert-base-uncased-finetuned-emotion/training_args.bin,torch.save
lewiswatson/distilbert-base-uncased-finetuned-emotion,363b90393a1d3d6bff52bd6b467bc061b4caa0d5,lewiswatson/distilbert-base-uncased-finetuned-emotion/pytorch_model.bin,torch.save
lewiswatson/distilbert-base-uncased-finetuned-emotion,363b90393a1d3d6bff52bd6b467bc061b4caa0d5,lewiswatson/distilbert-base-uncased-finetuned-emotion/training_args.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-300m-Tatar,7f2aaecdeec0be99030834a57a815c78738291d8,kingabzpro/wav2vec2-large-xls-r-300m-Tatar/language_model/3gram.bin,undetermined
kingabzpro/wav2vec2-large-xls-r-300m-Tatar,c0665540d8e40206623f619db791d15b7a3ed106,kingabzpro/wav2vec2-large-xls-r-300m-Tatar/pytorch_model.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-300m-Tatar,353c314e1d4a967bec38b8575effe98544d78757,kingabzpro/wav2vec2-large-xls-r-300m-Tatar/pytorch_model.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-300m-Tatar,9ed5d02fcb57fbad5589c6e2ba2a7b5628b0d3e5,kingabzpro/wav2vec2-large-xls-r-300m-Tatar/pytorch_model.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-300m-Tatar,d10a07c061083de07f6e4011a997798d88ab9375,kingabzpro/wav2vec2-large-xls-r-300m-Tatar/language_model/3gram.bin,undetermined
kingabzpro/wav2vec2-large-xls-r-300m-Tatar,5883368d17cc62f32c3b48d42a4976540c82290a,kingabzpro/wav2vec2-large-xls-r-300m-Tatar/pytorch_model.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-300m-Tatar,632a52db4bce794b6842f29fd3bb3b41204d67de,kingabzpro/wav2vec2-large-xls-r-300m-Tatar/pytorch_model.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-300m-Tatar,632a52db4bce794b6842f29fd3bb3b41204d67de,kingabzpro/wav2vec2-large-xls-r-300m-Tatar/training_args.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-300m-Swedish,ea3b80202c7063d41f4d3f5110ba372c0c76f3f3,kingabzpro/wav2vec2-large-xls-r-300m-Swedish/pytorch_model.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-300m-Swedish,a3ceef63f9a3e9594d5b23991fcc840a50a93498,kingabzpro/wav2vec2-large-xls-r-300m-Swedish/pytorch_model.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-300m-Swedish,20593d6e40a7ee5be0dff1464aa5e73eda5980a5,kingabzpro/wav2vec2-large-xls-r-300m-Swedish/pytorch_model.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-300m-Swedish,a3e28eb30eab740f6cf02c090f372723bf46f02c,kingabzpro/wav2vec2-large-xls-r-300m-Swedish/pytorch_model.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-300m-Swedish,3a220b15fc88601a3d4e1fb9d7383656d0735eb1,kingabzpro/wav2vec2-large-xls-r-300m-Swedish/pytorch_model.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-300m-Swedish,abb483fbf1c4722c1d1a572ae19ea53171274a0e,kingabzpro/wav2vec2-large-xls-r-300m-Swedish/pytorch_model.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-300m-Swedish,35bf441def8f2a1b02dc72f4411c8ee5f77c7a5b,kingabzpro/wav2vec2-large-xls-r-300m-Swedish/pytorch_model.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-300m-Swedish,52ad0589edb908a4fecde5ebd0d61dfb94b5b359,kingabzpro/wav2vec2-large-xls-r-300m-Swedish/pytorch_model.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-300m-Swedish,11df5d2668d3518f1f3f3ca0ea262211a411b9d0,kingabzpro/wav2vec2-large-xls-r-300m-Swedish/pytorch_model.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-300m-Swedish,1e698637ba3ca73241868c82229b6343674e0e36,kingabzpro/wav2vec2-large-xls-r-300m-Swedish/pytorch_model.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-300m-Swedish,1e698637ba3ca73241868c82229b6343674e0e36,kingabzpro/wav2vec2-large-xls-r-300m-Swedish/training_args.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-300m-Swedish,4afc8a7f59127f03f9f53f731ce4d010ac479d5b,kingabzpro/wav2vec2-large-xls-r-300m-Swedish/pytorch_model.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-300m-Swedish,11c07f79f5c7067b2722dbd3fb1588bcba04f972,kingabzpro/wav2vec2-large-xls-r-300m-Swedish/pytorch_model.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-300m-Swedish,31cb8f7670650baf8596c35d1ba37ca849f2e57d,kingabzpro/wav2vec2-large-xls-r-300m-Swedish/pytorch_model.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-300m-Swedish,7166fd22b82eebf672ffd20e0814f9806073e44b,kingabzpro/wav2vec2-large-xls-r-300m-Swedish/pytorch_model.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-300m-Swedish,a855fa2cb7edfe72275b3a90bf81650e926d65e6,kingabzpro/wav2vec2-large-xls-r-300m-Swedish/pytorch_model.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-300m-Swedish,ecd69fe8fc88d187ebc6eacf13c7970c96e37efe,kingabzpro/wav2vec2-large-xls-r-300m-Swedish/pytorch_model.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-300m-Swedish,ecd69fe8fc88d187ebc6eacf13c7970c96e37efe,kingabzpro/wav2vec2-large-xls-r-300m-Swedish/training_args.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-1b-Irish,e3c01ee534db1b8188d08e6bed823c9ff57c2ea4,kingabzpro/wav2vec2-large-xls-r-1b-Irish/language_model/5gram.bin,undetermined
kingabzpro/wav2vec2-large-xls-r-1b-Irish,6bdf0ca81951ac6108a15cd327b0e25ec39adfc5,kingabzpro/wav2vec2-large-xls-r-1b-Irish/pytorch_model.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-1b-Irish,39282140f8355f2b52d591008c8aacf99dc91c86,kingabzpro/wav2vec2-large-xls-r-1b-Irish/pytorch_model.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-1b-Irish,d23d9d33bbac1e5759700e2c07b5664bb5012913,kingabzpro/wav2vec2-large-xls-r-1b-Irish/pytorch_model.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-1b-Irish,dc51fcd2bd54be6a65dc6caca616b44fe26498f4,kingabzpro/wav2vec2-large-xls-r-1b-Irish/pytorch_model.bin,torch.save
kingabzpro/wav2vec2-large-xls-r-1b-Irish,60fe0c81704dcaa01dcd3fb84a36c3a706108075,kingabzpro/wav2vec2-large-xls-r-1b-Irish/pytorch_model.bin,torch.save
keras-io/video-vision-transformer,0ee6c3f6f675cd8fa091a80eb07b3d281fea2bb2,keras-io/video-vision-transformer/keras_metadata.pb,ONNX
keras-io/video-vision-transformer,0ee6c3f6f675cd8fa091a80eb07b3d281fea2bb2,keras-io/video-vision-transformer/saved_model.pb,ONNX
